population_type,population_name,latitude,longitude,ovary_width,ovary_height,average_august_temperature,flower_number
a,mi_m2,43.264,-84.884,3.62,3.48,21,NA
a,mi_m3,45.615,-84.689,3.61,3.59,18.3,NA
a,mi_m5,42.418,-84.013,2.98,2.68,20.8,NA
a,mi_m7,45.623,-84.705,3.48,4.08,18.2,NA
a,mi_m8,43.35,-85.935,3.43,2.94,20.1,NA
a,mi_m9,45.6,-84.709,3.87,3.11,18.2,NA
a,on_m1,44.988,-78.667,3.36,3.28,19.1,47.68
a,on_m11,45.301,-76.83,3.62,2.86,20.3,52.59
a,on_m12,44.112,-79.546,3.55,2.87,20.2,89
a,on_m13,44.419,-79.671,3.39,3.17,19.8,46.55
a,on_m14,44.992,-79.74,3.43,2.57,19.6,13
a,on_m15,45.901,-82.256,3.41,3.75,19.1,65.55
a,on_m16,45.998,-77.43,3.42,3.11,19.5,56.69
a,on_m2,44.903,-79.356,3.14,2.57,19.1,13.95
a,on_m3,44.195,-79.203,3.33,3.19,19.6,28.92
a,on_m4,43.878,80.105,3.25,3.25,20,12.4
a,on_m5,44.816,-78.78,3.02,2.7,19.3,28.6
a,on_m6,45.114,-78.837,3.41,2.67,19.4,14.07
a,on_m7,44.904,-79.312,2.94,2.79,19.2,NA
a,on_m8,45.258,-75.74,3.44,3.24,20.4,65.39
a,on_m9,45.402,-75.975,3.91,3.3,20.4,36.84
a,qc_m1,45.634,-76.192,3.31,2.92,20.1,97.39
s,eo_t1,44.507,-76.411,3.19,2.74,21,NA
s,eo_t11,44.572,-76.34,3.56,2.94,20.9,NA
s,eo_t7,44.582,-76.33,3.41,3.06,20.9,NA
s,eo_t8,44.54,-76.199,3.8,2.8,19.1,NA
s,mi_t11,44.695,-85.812,3.45,3.66,19.4,NA
s,mi_t2,42.209,-84.309,3.58,3.41,21.3,NA
s,mi_t4,42.194,-84.343,4.17,3.11,21.1,NA
s,on_d10,46.291,-78.874,2.85,2.64,19.2,21.58
s,on_d2,44.106,-78.889,3.57,2.99,19.6,49
s,on_d3,45.028,-78.849,2.61,2.17,19.1,NA
s,on_d4,44.539,-81.246,3.88,2.95,19.3,NA
s,on_d5,44.099,-78.328,3.32,2.96,19.6,141.45
s,on_d7,44.853,-76.2,3.41,3.15,20.4,149.16
s,on_d8,44.965,-76.85,3.65,3.16,20.3,56.56
s,on_d9,43.859,-78.841,3.43,2.7,20.4,181.76
s,on_t10,44.091,-78.306,3.68,2.94,20,NA
s,on_t12,45.254,-74.719,3.71,3.11,20.4,71.55
s,on_t13,45.135,-76.64,3.23,3.41,20.3,25.91
s,on_t14,43.966,-77.035,3.18,2.46,20.9,39.5
s,on_t15,43.418,-80.262,3.16,2.67,20,NA
s,on_t16,44.902,-75.87,3.34,3.11,20.5,45.3
s,on_t3,43.208,-80.65,3.35,2.83,19.6,NA
s,on_t7,42.049,-83.106,3.78,3.18,21.6,NA
s,on_t8,42.257,-81.859,3.3,2.88,20.8,NA
,,,,,,,
,,,,,,"                                                                                                                                             It's lame and counter-productive to upload your data to an AI bot. Luckily, you know better.",
